image	round	status	p50_ms	p90_ms	p99_ms	throughput_pods_s	binding_window_s	published_commit	window
master	1	pass	2405.95	4110.43	4422.37	738.95	13.533	853925ab1599141f770e7f6afc07841b373064f1	2026-09-01 00:30:12 至 2026-09-01 00:31:39
master	2	pass	2241.66	3646.15	3986.69	762.46	13.115	bd4a18c98f2ce4aa21d1f71e8b5e11f25239f725	2026-09-01 00:33:35 至 2026-09-01 00:35:01
master	3	pass	2297.12	3743.22	3985.44	760.05	13.157	c33ded93c15247e2cf44a21ffd4875d7114f55d2	2026-09-01 00:36:42 至 2026-09-01 00:38:08
master	4	pass	2200.71	3648.00	3923.30	766.12	13.053	a2889c8deb075e11e4c0d1dfdaae1d216141803f	2026-09-01 00:39:50 至 2026-09-01 00:41:16
master	5	pass	2260.48	3572.31	3788.06	768.30	13.016	a3b5aad5779abb917033719003cea73e8957cd5e	2026-09-01 00:42:57 至 2026-09-01 00:44:23
master	6	pass	2285.03	3765.82	4007.31	761.63	13.130	14cf98d95c7084312ea28a357a2ace8f68ca2e40	2026-09-01 00:46:05 至 2026-09-01 00:47:30
master	7	pass	2301.96	3718.55	3904.35	763.60	13.096	da037cc560a036756a7a48168e02d1a57cb1fcf3	2026-09-01 00:49:12 至 2026-09-01 00:50:37
masterperf1	1	pass	1079.07	1613.34	1692.72	932.14	10.728	5fde3b360a61ba7de6896f0664d6678ddb849128	2026-09-01 00:53:36 至 2026-09-01 00:55:01
masterperf1	2	pass	1097.55	1470.23	1563.63	946.50	10.565	70dbc71f00a3d401d7196febe9c80341d42203b2	2026-09-01 00:56:46 至 2026-09-01 00:58:12
masterperf1	3	pass	1223.50	1669.69	1747.33	924.81	10.813	d9f7651c8ed8bbe7c9d5c4680cb0310091bbdcc3	2026-09-01 00:59:53 至 2026-09-01 01:01:21
masterperf1	4	pass	1072.66	1541.15	1645.52	931.51	10.735	87f0598a132f70daab4f67212afb1fc5643ac191	2026-09-01 01:03:05 至 2026-09-01 01:04:37
masterperf1	5	pass	1183.86	1929.38	2013.99	908.69	11.005	b11e2add9919d050e4d01c5fca6190d298b7a32e	2026-09-01 01:06:15 至 2026-09-01 01:07:42
masterperf1	6	pass	1105.36	1479.87	1537.98	946.20	10.569	c065e757a1ad20600ff34334fc30db08a4a0ffc5	2026-09-01 01:09:29 至 2026-09-01 01:10:55
masterperf1	7	pass	1023.21	1416.48	1500.88	949.50	10.532	b11e404b9b3b9cdc624492692ed7535ce44c0317	2026-09-01 01:12:36 至 2026-09-01 01:14:01
